% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:37:12 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4578969856e+00, 1.4259386689e-02, -8.6239929331e-06, 5.5137814330e-03
-1.4577017664e+00, 1.4259842429e-02, 1.1589805137e-04, 5.5137814330e-03
-1.4575065472e+00, 1.4259176348e-02, 2.4659010688e-04, 5.5137814330e-03
-1.4573113280e+00, 1.4263663629e-02, 2.0971026718e-04, 5.5137814330e-03
-1.4571161088e+00, 1.4256196513e-02, 5.7353058693e-05, 5.5137814330e-03
-1.4569208896e+00, 1.4252200028e-02, -1.5179629838e-05, 5.5137814330e-03
-1.4567256704e+00, 1.4255775830e-02, 9.2655338708e-05, 5.5137814330e-03
-1.4565304512e+00, 1.4258825779e-02, 2.3368917436e-04, 5.5137814330e-03
-1.4563352320e+00, 1.4258755665e-02, 2.2366290615e-04, 5.5137814330e-03
-1.4561400128e+00, 1.4259176348e-02, 7.5267125315e-05, 5.5137814330e-03
-1.4559447936e+00, 1.4255670660e-02, -1.7949123503e-05, 5.5137814330e-03
-1.4557495744e+00, 1.4261034363e-02, 6.7624725073e-05, 5.5137814330e-03
-1.4555543552e+00, 1.4259632087e-02, 2.1833426011e-04, 5.5137814330e-03
-1.4553591360e+00, 1.4265556700e-02, 2.3617821297e-04, 5.5137814330e-03
-1.4551639168e+00, 1.4262682036e-02, 9.6616766356e-05, 5.5137814330e-03
-1.4549686976e+00, 1.4259807372e-02, -1.8860602431e-05, 5.5137814330e-03
-1.4547734784e+00, 1.4265030847e-02, 4.8133098769e-05, 5.5137814330e-03
-1.4545782592e+00, 1.4262156183e-02, 1.9828172370e-04, 5.5137814330e-03
-1.4543830400e+00, 1.4266888862e-02, 2.4508266096e-04, 5.5137814330e-03
-1.4541878208e+00, 1.4263593515e-02, 1.1691470094e-04, 5.5137814330e-03
-1.4539926016e+00, 1.4256406854e-02, -1.2971046282e-05, 5.5137814330e-03
-1.4537973824e+00, 1.4260718851e-02, 2.6818514609e-05, 5.5137814330e-03
-1.4536021632e+00, 1.4258895893e-02, 1.7826424417e-04, 5.5137814330e-03
-1.4534069440e+00, 1.4265872212e-02, 2.4564357107e-04, 5.5137814330e-03
